,cosTBz,R2,chiProb,Ks_distChi,m_KSpipi,Mbc,isSignal
0,0.028581863,0.20947258,0.6013596,0.96307003,2.4143078,5.263524,0.0
1,0.8298319,0.10425411,0.884023,277.51505,2.711962,5.2777104,1.0
2,0.28660285,0.22250868,0.855498,40.544727,1.3554636,5.282244,1.0
3,0.8693846,0.5107172,0.24389917,1.639768,2.3530784,5.275081,0.0
4,0.038354952,0.2792782,0.8999706,968.7148,1.2017992,5.273116,1.0
5,0.85496485,0.42200577,8.557034e-06,3.6802337,2.611846,5.2820616,0.0
6,0.021378022,0.13870753,0.8669807,137.9458,1.123084,5.276882,1.0
7,0.42795786,0.27135596,0.00013033478,365.2286,1.6595442,5.2779536,1.0
8,0.37852022,0.33656618,0.8071325,0.8919055,2.0552428,5.284991,0.0
9,0.12154133,0.27974948,0.12594937,22.53343,1.255896,5.2772985,1.0
10,0.57805085,0.32942712,0.1196698,1.4078484,2.7213452,5.273104,0.0
11,0.5037187,0.13908729,0.82039994,0.8023173,3.2598987,5.278117,0.0
12,0.65583444,0.31537452,0.9780452,1.5635481,2.2804117,5.275517,0.0
13,0.7215532,0.37599897,0.0,71.27253,2.413487,5.2610292,0.0
14,0.23536277,0.16316056,0.047362696,1.1727824,3.5322611,5.2741284,0.0
15,0.3545135,0.38464797,0.08649802,1.5104064,2.9218676,5.2757745,0.0
16,0.22683124,0.059475932,0.3092368,89.334145,1.5776892,5.2788568,1.0
17,0.051253073,0.23000671,1.2775366e-05,1.1041328,2.3550854,5.2676153,0.0
18,0.13411903,0.25554723,0.9240337,0.7700421,3.5338953,5.267058,0.0
19,0.10641033,0.29728416,0.11905828,39.00432,2.091733,5.2742953,0.0
20,0.3097076,0.31227395,6.7249986e-36,42.630802,1.3245037,5.2682047,1.0
21,0.5646472,0.27375165,0.81739944,0.24358363,2.7046757,5.274537,0.0
22,0.4284495,0.28469807,0.80503887,28.024628,1.6066637,5.276279,1.0
23,0.4050303,0.40615305,3.062754e-36,0.61397547,3.5672765,5.26548,0.0
24,0.6005734,0.18075286,0.031076202,170.64075,1.2725996,5.2719245,1.0
25,0.058672618,0.12327962,0.3122658,0.8768604,3.1424084,5.2866707,0.0
26,0.7572547,0.20959692,0.0028064498,462.93564,2.9370377,5.261847,0.0
27,0.83953375,0.28124213,0.54319805,87.12766,1.3032031,5.2808995,1.0
28,0.197828,0.10902525,1.05447914e-10,6.2702007,2.3790593,5.2682443,0.0
29,0.14408661,0.3099999,2.4021531e-36,34.32954,1.4440695,5.270586,1.0
30,0.52299243,0.24504355,0.48360947,1.673263,2.8167567,5.2641344,0.0
31,0.58203924,0.2815193,0.035195302,0.37791693,2.8268106,5.265652,0.0
32,0.011233388,0.14283225,0.94582176,341.17328,1.8162768,5.2764463,1.0
33,0.009447402,0.2505374,0.918348,196.12697,1.1661938,5.2790313,1.0
34,0.49848178,0.35923332,0.36626956,33.513435,1.4343961,5.2777185,1.0
35,0.5185358,0.31286305,0.31685665,181.18942,1.2488915,5.272771,1.0
36,0.47296435,0.03198708,0.14650181,2.212965,2.841503,5.2632318,0.0
37,0.21014977,0.264089,0.95197004,620.3513,1.3002017,5.2760043,1.0
38,0.020445703,0.2729838,0.0,7.539994,2.0573716,5.2876062,0.0
39,0.30234542,0.33542547,0.9034552,330.30997,1.2116674,5.277409,1.0
40,0.6602612,0.19605944,0.90763104,87.21351,3.5758247,5.270185,0.0
41,0.68577015,0.21520236,0.5970969,12.698226,1.359784,5.284086,1.0
42,0.15129565,0.20015055,2.8652585e-05,1.0289154,4.0208554,5.264262,0.0
43,0.16648236,0.20996273,0.7745877,1091.6954,1.2881052,5.2788672,1.0
44,0.0625327,0.2359383,0.35655043,189.1432,1.7684511,5.271681,1.0
45,0.19381955,0.253841,0.06636637,0.4232885,3.3044589,5.2727,0.0
46,0.5233703,0.17730407,0.6652519,21.164692,2.1988056,5.2804317,1.0
47,0.8135667,0.22565733,0.0065174117,17.339346,3.0486727,5.2714987,0.0
48,0.764777,0.2541648,0.43957654,21.764421,1.6273772,5.2805233,1.0
49,0.23579787,0.32807246,0.9064222,122.73531,2.862141,5.2774878,0.0
50,0.56114346,0.27227494,0.061782457,168.6938,1.1315675,5.2794023,1.0
51,0.05071048,0.26757535,2.2685187e-08,270.82266,3.6732593,5.272017,0.0
52,0.2939105,0.2836441,0.9370816,495.77905,1.4887282,5.283741,1.0
53,0.47834358,0.39412528,0.74033433,0.80361307,3.1577096,5.274265,0.0
